식재료명(통합),제공 기준량,단위,평균 에너지(kcal)
땅콩_삶은것에 소금을 가한것,100,g,318
소고기_한우(3등급)_설도(설깃살)_생것,100,g,103
멥쌀_삼광_현미_생것,100,g,358
소고기_한우(1등급)_살코기_생것,100,g,233
상추_잎상추_적상추_생것,100,g,19
동부_말린것,100,g,343
멸치_전체_말린것,100,g,310
동부_수입산(미얀마산)_삶은것,100,g,155
호박_쥬키니_데친것,100,g,11
소고기_한우(2등급)_설도_생것,100,g,173
송아지 부산물_수입산(미국산)_골_생것,100,g,118
소고기_한우(1등급)_앞다리(앞다리살)_생것,100,g,179
미역류_미역_줄기_말린것,100,g,131
팥_붉은팥_말린것,100,g,335
전갱이류_전갱이(치어)_육_생것,100,g,99
라이마빈스_말린것,100,g,306
새우류_꽃새우_육_삶아서 말린것,100,g,307
소고기_수입산(미국산)_안심(안심살)_구운것,100,g,267
가재류_바닷가재_내장_생것,100,g,268
연씨_미숙_생것,100,g,81
귤 주스_천연과즙,100,g,39
버들송이버섯_갓_말린것,100,g,191
부추_두메부추_생것,100,g,46
조_차조+삼다찰_도정_생것,100,g,369
국수_말린것,100,g,368
멥쌀_큰눈벼_현미_생것,100,g,371
박쥐나무_잎_생것,100,g,100
소고기_한우(1++등급)_살코기_생것,100,g,269
루꼴라_생것,100,g,26
큰느타리버섯(새송이버섯)_구운것(팬),100,g,28
백모근_뿌리_말린것,100,g,337
잇꽃씨기름,100,g,892
두릅_땅두릅_생것,100,g,25
대나무_추출,100,ml,2
매생이_줄기_말린것_1월,100,g,125
호박_잎_찐것,100,g,49
오이_늙은오이_생것,100,g,9
돼지고기_안심(안심살)_생것,100,g,123
아티초크_삶은것,100,g,53
연어류_연어_육_생것_수입(영국),100,g,179
자몽(그레이프프루트)_착즙,100,g,31
감자_로즈밸리_생것,100,g,68
닭 육수,100,g,12
돼지고기_사태_구운것(팬),100,g,212
무말랭이_뿌리_말린것을 불린것,100,g,49
꿀_잡화,100,g,318
크랜베리_생것,100,g,46
돔류_참돔_껍질_구운것,100,g,209
소고기_한우(1++등급)_사태(앞사태)_생것,100,g,159
달걀_유정란_난백_생것,100,g,50
메추리고기_생것,100,g,194
새우류_새우_육_젓갈,100,g,44
쑥갓_데친것,100,g,21
야콘차_추출,100,ml,98
두릅_땅두릅_줄기_데친것,100,g,16
대황_대황_줄기_말린것,100,g,145
크릴류_크릴_육_페이스트,100,g,130
대구류_육_찐것,100,g,84
돼지고기_목심(목심살)_구운것(팬),100,g,264
오징어류_오징어_육_튀긴것,100,g,268
오렌지_발렌시아_생것,100,g,49
오리고기_껍질 포함_구운것(팬),100,g,308
백합류_백합_육_조미통조림,100,g,137
돼지고기_뒷다리(뒷사태살)_생것,100,g,135
곤약(구약나물)_국수형_데친것,100,g,7
갯기름나물_데친것,100,g,49
양배추_적양배추_삶은것,100,g,26
미나리_돌미나리_생것,100,g,16
느타리버섯_데친것,100,g,21
옥수수_평강옥_말린것,100,g,359
두릅_참두릅_생것,100,g,33
양송이버섯_말린것,100,g,180
호박_애호박_말린것,100,g,284
감_단감_생것,100,g,57
소고기_한우(1+등급)_양지(치마양지)_생것,100,g,217
포도_새마루_생것,100,g,54
소고기_한우(1++등급)_목심(목심살)_생것,100,g,217
돼지고기_등심_삶은것,100,g,204
노루궁뎅이버섯_생것,100,g,13
새우류_꽃새우_육_장류를 넣고 가열하여 조린것,100,g,255
잇꽃(홍화)_잎_생것,100,g,45
소고기_한우(1등급)_양지(치마양지)_생것,100,g,193
치커리_잎_생것,100,g,19
게류_꽃게_육_생것,100,g,80
명태_육_생것,100,g,76
어린양고기_수입산(미국산)_다리_구운것(오븐),100,g,225
소금_굵은소금,100,g,0
배추_봄동_데친것,100,g,22
풋마늘_잎줄기_데친것,100,g,30
두릅_땅두릅_줄기_생것,100,g,17
땅콩_중립종_말린것,100,g,549
포도_홍단_생것,100,g,59
조_차조_도정_생것,100,g,370
복분자_생것,100,g,88
세발나물_데친것,100,g,23
고등어류_고등어_전체_생것,100,g,85
소고기_한우(2등급)_설도(설깃살)_생것,100,g,165
홍합류_지중해담치_전체_생것,100,g,86
홍합류_진주담치_육_구운것,100,g,191
배추_소금에 절인것,100,g,17
마늘_한지형_구근_데친것,100,g,132
비파_생것,100,g,45
국화꽃_생것,100,g,25
양송이버섯_갈색양송이_생것,100,g,15
호박_싹_생것,100,g,38
돼지고기_뒷다리(홍두깨살)_생것,100,g,136
팥_검정팥_말린것,100,g,330
고등어류_고등어_육_소금에 절인것,100,g,286
미역류_미역_줄기_생것_1월,100,g,14
옥수수_창다옥_말린것,100,g,360
구아바_생것,100,g,33
소고기_한우(1+등급)_사태(앞사태)_생것,100,g,153
빙어류_샛멸_육_생것,100,g,91
나도팽나무버섯_말린것,100,g,182
표고버섯_갓_데친것,100,g,21
상추_완전결구상추(양상추)_청상추_찐것,100,g,15
설탕_각설탕,100,g,394
도라지_뿌리_분말화한것,100,g,339
감자_보라밸리_삶은것,100,g,69
소고기_한우(1등급)_사태(아롱사태)_생것,100,g,237
고춧가루_분말화한것,100,g,319
케일_하우스_생것,100,g,22
곰취_데친것,100,g,32
느타리버섯_참타리버섯_생것,100,g,16
콩(대두)_서리태_볶은것,100,g,436
정어리_전체_생것,100,g,179
블루길_육_생것_가평(청평),100,g,83
송어류_송어_육_말린것,100,g,461
쏘가리_육_찐것,100,g,125
찹쌀_동진찰벼_현미_생것,100,g,357
청각_전체_생것,100,g,10
취나물_미역취_생것,100,g,48
갯기름나물_노지_생것,100,g,41
성게류_성게_알_통조림,100,g,138
갯기름나물_하우스_어린잎_생것,100,g,44
라즈베리_얼린것,100,g,56
청둥오리알_생것,100,g,178
멥쌀밥_새일미_백미,100,g,142
소고기_한우(1+등급)_갈비(제비추리)_생것,100,g,187
토마토_흑토마토_생것,100,g,21
방울다다기양배추_생것,100,g,46
수박_황육질_생것,100,g,36
마늘종_꽃줄기_생것,100,g,53
파래류_파래_전체_생것_3월,100,g,24
옥수수_다평옥_말린것,100,g,359
성게류_보라성게_육_생것,100,g,154
가자미류_기름가자미_육_찐것,100,g,123
리크_생것,100,g,54
돼지고기_앞다리(앞사태살)_생것,100,g,132
멥쌀_보람찬_현미_생것,100,g,355
올리브 피클_초록색,100,g,137
구기자_재래종_순_생것,100,g,50
대구류_육_튀긴것,100,g,118
연어류_연어_전체_구운것,100,g,223
배추_알배기_찐것,100,g,18
마늘_구근_생것,100,g,128
두충차_분말화한것,100,g,354
찹쌀_칼슘쌀_생것,100,g,361
메밀 냉면_말린것을 삶은것,100,g,141
얼갈이배추_데친것,100,g,13
고구마_줄기_생것,100,g,18
포타벨라_생것,100,g,16
쏨뱅이류_고무꺽정이_육_생것,100,g,78
보리_찰보리_할맥,100,g,362
참빗살나무_잎_생것,100,g,61
